Date,Close,High,Low,Open,Volume
2015-01-01,684.9317016601562,689.823068893018,682.9659807330476,686.7144999392475,284935
2015-01-02,708.611328125,714.4627310944982,686.8515174999345,686.8515174999345,2080850
2015-01-05,708.5656127929688,720.3598240239293,706.4627840704638,713.0455983434857,1326999
2015-01-06,691.651611328125,715.8799889886608,686.0745353954404,708.5657617703858,1510720
2015-01-07,705.548583984375,711.6285012725926,694.1658078481703,697.9600851612784,1427667
2015-01-08,750.0281982421875,752.3596526030194,711.3999391834867,716.6113367733319,2769416
2015-01-09,742.8510131835938,757.9366029897836,735.1253514858622,757.4337611568662,1708427
2015-01-12,738.5082397460938,748.2453252097672,731.6054502752304,743.3539032009512,1320557
2015-01-13,762.3707885742188,770.2336138935855,742.485239450304,743.308112080123,3835281
2015-01-14,770.4165649414062,777.136487541846,759.033789933847,767.9937053354713,2320114
2015-01-15,767.399658203125,777.136746822805,761.5940118863489,776.2224682971311,1308063
2015-01-16,771.1480712890625,785.3650882095305,767.9937998789355,772.4737860328111,1568660
2015-01-19,760.588134765625,775.3079929713093,758.439547293798,773.4794363841128,1041563
2015-01-20,767.262451171875,774.3938115938139,763.4224706975615,763.4224706975615,1314139
2015-01-21,778.3251953125,782.530909458978,767.262448929034,772.5652525194299,1663391
2015-01-22,792.81640625,806.073440865657,779.7421826417216,783.079320573116,1995155
2015-01-23,788.1994018554688,804.519305099036,786.3708450194248,796.1536352528849,1531430
2015-01-27,814.1648559570312,816.2676849633932,791.3078976202253,794.4164662752793,1831293
2015-01-28,832.221923828125,842.0504167489186,814.667767171757,816.4963239942301,2895714
2015-01-29,805.7536010742188,843.4218850410123,792.8622970224858,835.4676512247152,5326269
2015-01-30,784.2222900390625,812.3363505680059,780.8851515899869,812.3363505680059,3291034
2015-02-02,738.8282470703125,778.1422126486284,734.6225893529488,777.1365288736857,4808585
2015-02-03,744.8626708984375,755.6511455422873,733.2513233211305,740.3826841329548,3048559
2015-02-04,734.942626953125,752.6339464503731,732.1540891552536,749.5253777491617,912365
2015-02-05,741.3424682617188,755.5595391465049,738.7367976703893,742.3939105301436,1668101
2015-02-06,729.2742309570312,745.136939808388,721.1828331594436,740.5655475396248,1668283
2015-02-09,734.7598876953125,751.5368746811157,716.2457493591901,722.2799647178606,1910672
2015-02-10,751.7196655273438,758.7596199361118,731.2855110589758,733.1598263064983,2235687
2015-02-11,768.6793212890625,772.5650032581121,757.0222753819135,758.8508316026428,1227804
2015-02-12,753.13671875,777.0451176361177,749.1138720736699,774.3936883535661,1974102
2015-02-13,755.8795776367188,763.376670789022,745.1825104635766,753.6852874154677,1323475
2015-02-16,762.6453247070312,770.2795267757854,747.8797067093085,762.508160630273,1584956
2015-02-18,750.6681518554688,769.8222925029529,749.4338985295906,767.1708632360311,1448399
2015-02-19,762.599365234375,766.1650722594511,755.1937347091965,755.1937347091965,1216904
2015-02-20,754.9195556640625,764.4280159000518,752.6338600588081,762.7366234734097,699111
2015-02-23,740.1996459960938,761.5937792840219,736.9996721335558,758.3938054214841,1434240
2015-02-24,731.0111083984375,743.7653001829718,729.5939883786251,740.5653265497323,1141027
2015-02-25,744.0853881835938,746.0511088922417,735.994047375312,736.1769141998802,1537365
2015-02-26,724.0169677734375,749.6167587478803,719.7198488421043,748.611019192015,1600594
2015-02-27,737.9598388671875,739.7426371191485,727.8570178227387,730.5998530449872,1272026
2015-03-02,754.8280639648438,759.3994549912857,736.9082334624367,753.1823743559473,1383141
2015-03-03,766.4395141601562,769.8223551474377,756.2910470014324,758.7138510981118,1617826
2015-03-04,765.068115234375,775.4909107880605,761.0453239598693,772.1080697186628,1600601
2015-03-05,762.4168090820312,769.4110056262011,757.0225439955943,765.25104990859,694150
2015-03-09,742.9883422851562,761.1367456715099,739.5140398245774,761.1367456715099,626456
2015-03-10,738.691162109375,747.879647844642,733.2511950750647,743.3082563541491,691298
2015-03-11,739.6510620117188,749.6624194381365,737.5939360666923,747.8795657918243,942306
2015-03-12,738.8282470703125,745.1367894494751,736.1768735713196,744.9539226349991,979686
2015-03-13,739.1026611328125,748.5197172405686,736.542637038715,742.3026354473109,837992
2015-03-16,760.5424194335938,764.1995328158374,739.6511815587756,743.3082949410193,1287189
2015-03-17,760.1309204101562,769.7765442926393,752.4509611825521,767.3993874826127,1384999
2015-03-18,744.4054565429688,764.1995496792819,740.5654762462525,764.1995496792819,1172762
2015-03-19,763.2395629882812,775.1708844134776,751.2625388057561,753.3653678709851,2037801
2015-03-20,740.519775390625,765.2509940866848,736.5426310075839,764.3367157186003,1245311
2015-03-23,742.0283813476562,746.0512289229039,736.4513050213225,746.0512289229039,759196
2015-03-24,743.58251953125,749.251056070319,738.3711221356041,740.2454372661329,755974
2015-03-25,739.1940307617188,747.2853716714428,733.7083607746188,744.0396947563662,834390
2015-03-26,725.1140747070312,745.959663936897,720.4512778442606,734.1654519149001,1516627
2015-03-27,711.4456787109375,725.0226890921084,702.2571371890281,725.0226890921084,1557785
2015-03-30,738.234130859375,740.336960091724,713.1828795087779,713.2285822697388,847421
2015-03-31,741.75390625,746.9653032472313,733.2968327432229,738.6453937942421,947718
2015-04-01,751.2625122070312,755.10249233978,734.6226355005332,740.5654446240596,898480
2015-04-06,753.8224487304688,760.130991241213,748.7939181446378,757.9367010279668,687263
2015-04-07,763.6052856445312,766.8966653684718,750.622521972327,753.6853321097961,769528
2015-04-08,774.2565307617188,780.7936427145925,767.9937469323861,768.9080252025436,982733
2015-04-09,780.0166015625,782.6222725552493,768.9080972184166,781.7079941994605,1019655
2015-04-10,785.7764282226562,787.833554219968,770.9194071309604,779.8793225364064,802074
2015-04-13,788.1536254882812,791.3535996525075,779.3308730602159,786.2793660670015,805167
2015-04-15,767.1251831054688,789.0221591700587,763.422367215526,787.7879058077837,1279621
2015-04-16,751.765380859375,765.1138225825733,741.1140156533443,763.4224299392862,1366075
2015-04-17,746.7826538085938,758.4854072312268,745.1369636996989,751.7654827019355,685338
2015-04-20,739.6054077148438,749.0681653606363,731.4226061479404,747.8796147862691,920198
2015-04-21,728.2225341796875,746.8738304460229,724.1082825741526,743.7195597211577,652649
2015-04-22,718.1199340820312,736.908342828511,703.2629110411339,731.4226727826413,1779318
2015-04-23,718.988525390625,740.565472388345,717.7085133640134,725.1141457666478,1275295
2015-04-24,705.2284545898438,724.565460493988,699.4685131938578,724.565460493988,1123939
2015-04-27,680.9545288085938,708.5657471484216,677.0688456790701,708.5657471484216,1625216
2015-04-28,699.8342895507812,702.7599910776574,667.4231148015095,678.3487509236094,2052761
2015-04-29,689.7318115234375,697.6859908550241,685.708963284248,697.6859908550241,1445757
2015-04-30,697.091552734375,704.771457542513,683.1488076245322,685.0687698757858,2260678
2015-05-04,712.5885620117188,714.5085242084969,698.5086532249412,703.8571592039099,1071772
2015-05-05,714.4170532226562,717.5712685707056,702.7600054315211,713.1370413400301,952716
2015-05-06,695.628662109375,712.2228365268528,685.845928381093,712.2228365268528,1616619
2015-05-07,700.1085205078125,707.1484736963946,671.8573022561839,688.7257459383461,1718402
2015-05-08,694.302978515625,708.0171533153559,688.2230053664963,706.737141346133,1127201
2015-05-11,705.5029907226562,709.6629465240295,687.4459912722218,702.165852047274,976348
2015-05-12,693.3429565429688,706.5999924677147,689.3658680867935,706.5542897113572,1137027
2015-05-13,697.1371459960938,708.5656237993084,693.9371722111936,693.9828749617836,839420
2015-05-14,728.1769409179688,734.165452439134,690.2800953817512,696.6800432859528,1975784
2015-05-15,722.55419921875,747.8797217389961,717.7085349206748,733.2512675240524,1503598
2015-05-18,701.0227661132812,747.8795209398944,696.6799449342293,728.5425158950825,6759860
2015-05-19,708.337158203125,712.4971135734128,685.7087688316797,693.0229956992175,3903935
2015-05-20,705.0914306640625,711.2628091413035,698.6457798595678,709.1599802282005,1793967
2015-05-21,710.5769653320312,712.9540661204711,700.3827419827243,703.9941517138258,1678041
2015-05-22,708.931396484375,712.9541874109619,705.0914165702242,708.5656628532683,1039136
2015-05-25,696.588623046875,711.9941892834798,689.731536151689,709.4342213365669,1282826
2015-05-26,698.051513671875,703.0800445496685,690.7829896969856,696.7715016726427,906103
