Date,Close,High,Low,Open,Volume
2015-09-24,833.9276733398438,848.1547953317296,832.5305941837272,848.1547953317296,3337753
2015-09-28,815.4522094726562,837.6910382685577,812.914747329419,834.8114194153775,3741877
2015-09-29,824.6898803710938,835.3816244891036,805.3591756822626,809.7214386058798,4576866
2015-09-30,836.0944213867188,837.6625265142459,824.7754243755394,835.2675861831441,3287628
2015-10-01,849.6943359375,852.2888589636432,833.7279801545607,845.6457252247865,2706871
2015-10-05,884.2216186523438,886.1318283729208,857.6775344042662,857.6775344042662,3955770
2015-10-06,886.616455078125,891.6629793213071,877.8635290476652,891.6629793213071,3646411
2015-10-07,880.857177734375,887.2152153773442,878.1485329987047,883.8508660337019,1399029
2015-10-08,874.55615234375,883.2235649452265,867.0006706739391,879.8592155879676,1634403
2015-10-09,881.798095703125,892.3758229881711,877.0082149513433,882.3112785673213,2046471
2015-10-12,886.1318359375,893.1170746151315,883.5658171075652,886.7020275402944,1188325
2015-10-13,881.4558715820312,893.3736160389232,873.8718856040515,889.5530925907434,1813896
2015-10-14,878.3482055664062,886.0747658809098,875.3259605753457,877.5213703732256,1693611
2015-10-15,889.8382568359375,891.5489358914301,881.0567222923457,883.9363932121752,1884301
2015-10-16,915.1846923828125,917.4370583883982,885.3048208232678,892.6892234460681,2580712
2015-10-19,901.4138793945312,918.0644964674622,898.277564731447,916.8670002003701,1893249
2015-10-20,897.2797241210938,910.5374876161549,894.1720181556594,904.2079538394246,2194296
2015-10-21,884.1073608398438,899.5604800301783,881.598351136301,898.6481318491731,2086108
2015-10-23,861.2128295898438,895.1698190768014,858.9034546435454,890.7220953240924,4297068
2015-10-26,860.157958984375,872.4463124208066,857.6204447750599,866.7725358956335,2636010
2015-10-27,852.345947265625,868.4548263415372,849.6944152763664,858.2478116362823,3801229
2015-10-28,851.2054443359375,854.7693243994989,845.6457371427662,849.5802782740815,2522211
2015-10-29,838.660400390625,853.0300939031276,836.2939645294357,852.4884067162119,2901601
2015-10-30,804.44677734375,854.0279626068697,798.3168270292275,839.9433656050638,11414433
2015-11-02,791.8447875976562,800.5977652205886,783.6335493495005,798.3168425046433,7422958
2015-11-03,783.0919189453125,796.5492656510559,779.8416388617013,796.5492656510559,5215915
2015-11-04,780.126708984375,791.4742106467623,778.3590210997571,791.4742106467623,3886504
2015-11-05,780.6113891601562,786.6557745715726,777.7887269523098,781.210085065305,3723427
2015-11-06,785.34423828125,790.6187970828666,782.4075587307171,782.9207415505589,2817822
2015-11-09,774.966064453125,777.7886742639828,759.0282668328181,769.805523276376,3894880
2015-11-10,768.893310546875,779.784638534487,765.8140565878517,772.6852779156704,3552916
2015-11-13,759.0853271484375,774.93761278173,758.4010659668286,774.93761278173,2728915
2015-11-16,773.8827514648438,777.1045271285766,756.1202026727881,758.1159776610214,3453009
2015-11-17,770.803466796875,782.6356458624498,766.9544390303383,780.3547231173902,2795227
2015-11-18,766.640869140625,780.6399550325283,764.6735985117854,772.0865590760206,2537497
2015-11-19,774.9092407226562,778.3591037823112,769.8627157608722,774.3675012327794,1806705
2015-11-20,779.4139404296875,783.1488989012549,766.6693597999126,776.8764260471622,2543665
2015-11-23,780.5828247070312,789.1362199030574,778.3874671949262,781.2100771684586,2178064
2015-11-24,764.9871215820312,780.5828154515846,762.6777466711117,777.2185183319447,2611854
2015-11-26,759.912109375,772.2574707580177,758.4865261916357,769.6629479965706,4076958
2015-11-27,778.3589477539062,779.7845309942101,761.8224014306584,762.0504884844134,3462969
2015-11-30,783.8331909179688,789.1648109703268,777.7887530975876,778.2734837974626,3613390
2015-12-01,778.2735595703125,788.5661396142067,775.8215580917647,784.0613543224673,1377124
2015-12-02,772.08642578125,783.4909343524312,770.8604253176006,780.0695765604992,1781221
2015-12-03,768.57958984375,778.3019771809902,766.5268062593627,770.0906862260925,1776231
2015-12-04,764.0177612304688,770.5468249470667,762.9628390264668,764.4169266272024,2201155
2015-12-07,764.759033203125,770.6608966905031,761.8794145556212,767.211034302419,1649014
2015-12-08,753.8963012695312,764.1033149623958,749.2774468109858,762.9343752718506,2217838
2015-12-09,741.693359375,755.5213120963652,740.381793663685,752.755711110937,3327682
2015-12-10,747.5382080078125,751.4157400585373,741.8644317091773,746.7683815864539,2893311
2015-12-11,733.1685791015625,749.1348827986515,727.9224720885529,747.6237863851976,4114018
2015-12-14,726.6964721679688,736.9320425705578,721.0512519319539,732.3987533257841,4010256
2015-12-15,731.7144165039062,735.1927831140152,721.3933340938304,727.0385537464917,3333246
2015-12-16,730.403076171875,740.724161029885,727.6089700379066,736.0197928016352,3351052
2015-12-17,739.1275024414062,741.1232774891572,730.7736367480575,735.021830494577,3764286
2015-12-18,734.1094360351562,746.1982596193325,732.2276785453732,736.6469503796809,3934995
2015-12-21,735.7631225585938,739.9828117724477,732.4557816485617,733.5677648753531,1760169
2015-12-22,730.0037841796875,739.5265364331168,727.6088439378884,736.1622392341576,2622499
2015-12-23,736.162353515625,740.7241476465451,731.6005071789149,734.4516741908062,2420179
2015-12-24,738.1580810546875,742.1496832904385,733.4822175742956,739.4695948250289,2227447
2015-12-28,738.5286865234375,741.4083052882837,734.5370845882796,739.6691218452901,2357763
2015-12-29,735.33544921875,741.8645135194383,732.9119522654576,741.2943219351926,2280091
2015-12-30,731.8854370117188,740.1536831461956,730.7449496646517,737.5876649239564,1811727
2015-12-31,727.295166015625,733.6246991945148,725.4134086754864,733.3110468682685,2324868
2016-01-01,735.1358032226562,736.1622210740446,725.6415033545397,729.3195050058297,1127733
2016-01-04,716.1758422851562,735.5635574399372,714.6647457936285,733.311138779479,2767263
2016-01-05,716.7175903320312,723.6173159876755,714.2085802006017,720.0818878746804,2470134
2016-01-06,705.2845458984375,718.3712320234507,704.2296235227393,717.9150578403037,2728635
2016-01-07,687.921142578125,700.4376367319269,684.2716970078026,700.3235670863914,4689760
2016-01-08,672.3538818359375,693.908448514591,670.0159502980458,692.8820306335538,5356012
2016-01-11,669.0750732421875,675.6611978485532,652.9376401285043,662.6030182654492,4304283
2016-01-12,672.3823852539062,684.2716256315675,669.0180880454578,676.4880567723213,4095195
2016-01-13,659.609375,680.8502900126199,643.2723580744681,680.8502900126199,5619939
2016-01-14,647.0074462890625,658.6115404613615,633.0083592959083,646.864872276643,5099718
2016-01-15,631.7537841796875,650.9134113893622,627.248999267628,650.0010631048398,3987867
2016-01-18,617.8688354492188,632.9513491682267,612.4231973033111,630.6704260035283,4166632
2016-01-19,640.335693359375,645.7813305478758,609.628984044389,618.2963965759882,4372536
2016-01-20,636.4296264648438,640.0790716884031,614.333372417105,627.7907179932872,5856754
2016-01-21,628.7886962890625,648.6895948221254,622.1740663514845,644.3558357555827,3802062
2016-01-22,651.3125610351562,652.9091704943875,633.122343472841,636.3156145970862,3694869
2016-01-25,635.3177490234375,660.2366674169391,632.3240603812932,656.3305782377072,2472816
2016-01-27,631.6968383789062,639.7940607249674,625.9090435381172,639.7940607249674,2618145
2016-01-28,612.7083129882812,629.2449151083974,610.1422939219658,627.8193315585139,5794726
2016-01-29,628.18994140625,632.3810742156807,610.2563137679546,612.4231671752144,4848987
2016-02-01,639.8226318359375,660.8640208276097,633.008418259042,641.5048069571756,7053951
2016-02-02,639.737060546875,652.9092600613055,633.5215957963883,640.9345047541195,4505643
2016-02-03,632.2670288085938,638.6535713084301,622.8582934162212,631.1265412299041,3731595
2016-02-04,647.6061401367188,655.6748053289243,637.6271608381227,638.0833349926276,5956549
2016-02-05,650.0009765625,656.9007009056805,642.388434536881,651.0844030575669,4000879
2016-02-08,644.5269775390625,660.236744763706,638.8817563205672,650.628425182442,2539246
2016-02-09,635.3461303710938,643.1867593653443,628.6174844218308,635.8023044484224,2523124
2016-02-10,638.9957275390625,644.3558525342519,628.9597388278121,631.6398274283014,3203877
2016-02-11,622.915283203125,641.6472403428105,615.2742359224112,637.9122297756534,4395021
2016-02-12,600.8190307617188,628.6745751115594,579.3784808909064,627.0209047112656,6160240
2016-02-15,655.4181518554688,658.4403444973428,607.0344608176861,611.4536801497753,5939226
2016-02-16,629.5299072265625,660.2651222346188,626.849818947229,660.2651222346188,3548740
2016-02-17,640.0506591796875,646.4657066501624,617.070557937044,630.4423401546347,3479412
2016-02-18,655.5608520507812,669.9875568705863,646.0665503364471,646.8648812878534,5457168
2016-02-19,656.0455322265625,666.537695450191,645.1542035262484,653.5650262810689,3036894
2016-02-22,655.6177978515625,666.166968760357,650.1721601403486,655.7603718522846,2054481
2016-02-23,644.4413452148438,659.1817003422955,641.5616742066651,658.7540305653013,2045679
2016-02-24,634.6049194335938,644.3557587042986,632.9512490954962,639.793965301934,1816150
2016-02-25,619.5223388671875,638.6534586328552,616.9848249300981,637.5129712553779,2655282
2016-02-26,633.322021484375,637.2280587506987,622.8583626321094,622.9723800791778,2277972
2016-02-29,613.5635375976562,640.6493067305131,600.4768532551319,635.2321737862544,5500993
2016-03-01,640.9058227539062,643.7854933369973,616.4146316497666,619.8359893606704,3647113
2016-03-02,648.8605346679688,656.2734945271886,646.1804986995691,651.7687098989114,3652203
2016-03-03,688.3202514648438,690.6581830512158,646.8932919579559,655.1330873283387,5552958
2016-03-04,680.3941040039062,697.9285646844933,676.8586761869104,692.825031769535,3438969
2016-03-08,677.1153564453125,691.1143900662145,668.9896303244846,684.8419171292583,3022782
2016-03-09,691.59912109375,695.6762366432188,671.726726258058,674.2357365056663,3121141
2016-03-10,676.3739624023438,696.5314493819991,673.5798568469197,692.2547518782092,2932767
2016-03-11,676.0888671875,685.4120364298806,667.906081006018,677.9706245318548,2996377
2016-03-14,675.2620849609375,688.0636741300382,671.5556308994294,682.5609756512405,2726301
2016-03-15,673.2948608398438,683.0457012697383,670.3296765037791,677.8281504243745,2444158
2016-03-16,674.69189453125,679.5388365378662,664.2567405294136,676.8587479819853,2704711
2016-03-17,680.4227294921875,687.1228730552962,675.4047609619248,683.1313226033894,3872653
2016-03-18,683.8723754882812,685.982219699999,678.6263215181945,683.7012971619141,2566830
2016-03-21,700.3235473632812,702.8325574365256,681.0499020678006,684.8419215368015,3575446
2016-03-22,705.5410766601562,709.9318441553829,696.8166547978141,703.6593713679864,2979816
2016-03-23,708.53466796875,712.2126693853277,701.5494305653984,707.0806326616683,2438136
2016-03-28,687.8926391601562,710.6161478745303,683.1597668768096,707.6509635559977,3717456
2016-03-29,680.8218383789062,693.4238456905587,678.569419666273,688.8334951849517,2703178
2016-03-30,700.2664794921875,702.4618370179373,685.1269594599681,688.8334133326891,2874000
2016-03-31,693.79443359375,701.3784197864662,690.8292495737192,699.0689925972324,4945963
2016-04-01,705.8831787109375,711.8135465340782,691.1143200709939,691.1143200709939,2539944
2016-04-04,704.7141723632812,712.7828359793217,696.588447834735,707.0235470436162,1740162
2016-04-05,681.5060424804688,704.0870276099894,678.5978671117726,700.4660866808724,3151113
2016-04-06,691.0288696289062,692.8250618699587,674.2926868459945,683.7584831771844,2583834
2016-04-07,674.5208129882812,689.9454829320885,671.612689562629,688.8334996457337,2707579
2016-04-08,679.8524169921875,682.5610098299496,673.4373699073196,675.148049129951,1565038
2016-04-11,691.88427734375,693.3383130126504,676.0604935082492,681.9908102470376,2529934
2016-04-12,697.0447998046875,704.1726127557841,688.2918206507853,692.8251103141523,2837052
2016-04-13,704.172607421875,714.493691773334,700.865318525824,704.799859968576,4955905
2016-04-18,714.4937744140625,716.7461934117811,689.4323306251232,703.1462707458946,2644515
2016-04-20,721.8779907226562,723.0184259195883,711.6424216871391,716.7744583819983,2522848
2016-04-21,713.8948974609375,727.038590359244,710.5305481016551,724.0163976895019,1723543
2016-04-22,721.393310546875,723.6171722269639,707.9359664324818,712.7828551620657,2008374
2016-04-25,721.6213989257812,728.5211232234732,716.8314666897901,724.1874172717768,2128689
2016-04-26,730.4600219726562,731.8571010221896,718.68485023545,719.1125200375417,1877685
2016-04-27,727.865478515625,734.8792735156168,724.7862247029095,730.4600016152357,1557685
2016-04-28,718.2286987304688,731.5434717340615,714.7217749192191,728.1791219299354,2789970
2016-04-29,715.4061279296875,721.9636973272017,710.2170289295703,718.5708429752834,1689373
2016-05-02,713.210693359375,716.2043821313093,704.7998708782511,710.5021526076748,1344315
2016-05-03,713.581298828125,731.6860040583218,709.9318534234424,716.2043262927251,2525149
2016-05-04,710.958251953125,717.2877333668883,707.0807195793747,711.1007737424502,1644345
2016-05-05,726.3828125,731.3152667642626,709.475605329656,709.6466836694702,2821255
2016-05-06,718.7418212890625,725.5560334060684,715.0638716249712,724.7577025624568,1610382
2016-05-09,738.1864624023438,739.5264803088539,720.3098989133015,720.7660730003781,2788513
2016-05-10,752.7272338867188,754.2383301285,734.4515050058546,738.4430543737632,3676146
2016-05-11,757.1181030273438,760.6819831435841,738.4431540421785,741.2087555005596,4603557
2016-05-12,750.4749755859375,764.0463393563174,747.7093741036427,755.6070131152534,1553274
2016-05-13,733.5962524414062,749.8477042087013,730.1463898164885,746.9965375158462,2103742
2016-05-16,731.7429809570312,739.0133670916131,723.4746812844027,736.6184268060838,2410951
2016-05-17,736.2192993164062,746.4263656703437,732.541349523544,735.0218030090625,2223565
2016-05-18,746.9110107421875,748.251028783897,728.2075580503135,732.968986501853,2603508
2016-05-19,721.9635620117188,745.856059806259,718.5136995827129,743.5751370226615,2005083
2016-05-20,715.691162109375,729.7187525098739,713.4102390947334,725.3279848427013,1672558
2016-05-23,707.7650146484375,721.8211093301327,705.9402658057176,720.5666042893477,2198760
2016-05-24,708.3067016601562,711.9847037036557,697.5579479450004,707.7650144234086,1858491
2016-05-25,736.50439453125,740.5245010389851,713.3817212792925,718.4852544522445,3721570
2016-05-26,840.5992431640625,846.7291943593146,792.61471253864,800.5978647280164,20691907
2016-05-27,841.02685546875,848.1261632145328,827.9686752960505,840.513672626706,5885740
2016-05-30,847.9838256835938,853.3154467921771,836.0375738767539,838.1759231928758,3487939
2016-05-31,840.257080078125,847.9836929762038,836.6361911948933,847.4704578971782,3809605
2016-06-01,835.41015625,846.3014834292005,833.1577377192215,838.2612707064006,2486295
2016-06-02,842.366943359375,845.4747016439907,822.066879765195,832.5305378267078,3103587
2016-06-03,832.8727416992188,847.3280028347508,830.2497139969049,842.2244692362556,2250340
2016-06-06,837.2064208984375,840.1431008882271,833.1293054685399,834.1272191072519,1901931
2016-06-07,848.4397583007812,855.3394828744272,833.2717346574227,841.0838074245937,3348535
2016-06-08,861.7261962890625,863.7219714113844,849.7229367825498,852.6025559191254,3325263
2016-06-09,850.4640502929688,863.1516209520864,847.9835970784411,861.7830464352418,1813729
2016-06-10,848.3258666992188,858.1907771778018,841.8253061475089,845.2466647969961,2152996
2016-06-13,836.0374145507812,840.4566341580542,829.8504548948152,838.2327721754125,2209357
2016-06-14,832.8441162109375,840.0859979060731,829.7363582023899,837.092309531631,1689316
2016-06-15,863.208740234375,865.0334368828586,834.5263590932844,834.8114548931634,2960616
2016-06-16,852.0322265625,860.4715520810478,842.7945180359714,860.4715520810478,2447025
2016-06-17,844.0775756835938,856.9647300656112,839.8864431434068,852.2033015417046,2653944
2016-06-20,859.3597412109375,861.041916119535,832.7016385341418,834.4693265238728,2975367
2016-06-21,852.3743896484375,861.5550378875923,849.9224405662483,861.0418550256271,1195078
2016-06-22,850.5211791992188,857.0502959696724,844.0491233541248,853.0586936896411,1813926
2016-06-23,854.5413208007812,859.8729414436214,840.1716250928649,847.9837516080395,2053992
2016-06-24,815.765869140625,837.0923498423248,798.8871646791523,825.9729353446493,6840802
2016-06-27,836.3795166015625,837.8906130121668,814.2832620126022,814.8250014305619,2560092
2016-06-28,840.5421752929688,850.4925974187896,837.0923127802799,837.4914781925256,2342134
2016-06-29,845.759765625,851.3479772493475,842.3669116661208,847.4704447837098,2000545
2016-06-30,853.3438110351562,858.1336918344452,846.7291814230329,848.6109389533912,3960568
2016-07-01,879.6597290039062,880.9997470600929,855.7387256747397,858.0766572864821,3497923
2016-07-04,894.1719970703125,899.2470257154523,882.909956587202,883.8509136326286,2718052
2016-07-05,898.7337036132812,902.0980530076979,884.9912624676558,893.1454923309717,2636760
2016-07-07,886.4169921875,902.0696445487129,884.2216344230175,898.6767904368106,2084571
2016-07-08,873.9573974609375,887.3577338672824,867.9130121719757,886.6734204939215,1915600
2016-07-11,889.4391479492188,895.9397078908629,886.4454594118696,888.412677803757,1815517
2016-07-12,894.1149291992188,896.2532779581362,882.1116717932659,894.0008073635988,2383048
2016-07-13,884.6492309570312,895.1413403817704,879.9162546790336,894.1719834048251,2036055
2016-07-14,892.0906372070312,895.7971433564715,879.8592400019743,888.9544270261604,1909636
2016-07-15,904.29345703125,909.5111119434689,887.9279877496285,893.0315208172333,2428458
2016-07-18,897.7643432617188,914.4434639751416,892.4042712656233,905.5194076889821,1855422
2016-07-19,896.8521118164062,902.9535067040642,890.4655689131724,896.3959376384307,1926168
2016-07-20,895.7400512695312,904.3790643687145,894.4285375695212,896.966051895717,1790911
2016-07-21,888.1561279296875,898.1065504390864,884.9913088669133,898.1065504390864,1678212
2016-07-22,897.5363159179688,899.7601778160531,885.3049188611591,889.6101208726955,1877206
2016-07-25,904.3222045898438,905.975770857485,891.2639697434365,896.3960079569304,2209774
2016-07-26,908.1995239257812,911.2217165352084,901.5848427652205,905.8045315583589,1729183
2016-07-27,913.588134765625,920.9155295137308,904.749695861308,910.2522897029668,2467012
2016-07-28,899.3895263671875,916.1256561127097,890.3514524821549,914.6431163020125,2811580
2016-07-29,888.8973388671875,908.6272619971102,883.8509189610925,906.659939232262,4228011
2016-08-01,851.7470703125,904.3790065353248,849.6372259019143,889.0113997711726,9155449
2016-08-02,857.2499389648438,863.2088123411628,849.7799689731021,853.0587536658508,2410914
2016-08-03,843.1366577148438,865.1188932478017,838.5178035447602,859.9012909881473,2619658
2016-08-04,837.7482299804688,853.0587793336989,832.7587135780532,853.0587793336989,2254336
2016-08-05,862.29638671875,864.8909098788091,842.7946020678779,844.1346723925501,2805628
2016-08-08,859.416748046875,869.3957278292755,853.6859620672183,866.744143644706,1403923
2016-08-09,855.88134765625,861.0418896650021,848.1547346170862,860.9848287402115,1865400
2016-08-10,845.759765625,857.6205023018069,841.8537288008217,856.1094058586656,1683261
2016-08-11,840.912841796875,843.3647907948375,834.1556385136703,841.1123722985084,2240371
2016-08-12,850.720703125,858.5898374962464,843.0797080278497,843.3648038117947,1659132
2016-08-16,858.96044921875,862.5528855955464,839.3731535921136,851.889646095653,2610843
2016-08-17,856.7650756835938,863.4652176392775,850.2074555061337,857.4778411920513,1384653
2016-08-18,855.5241088867188,865.1062948932042,854.3119412442431,860.6615392769329,1780732
2016-08-19,862.5951538085938,864.124830178516,854.1097702541342,858.9296909189258,1392250
2016-08-22,861.6139526367188,868.1656402057894,853.7346780654573,862.9705001769935,1837995
2016-08-23,852.666748046875,862.7972812377147,844.6142919174313,861.6139156520685,1273489
2016-08-24,850.559814453125,859.1895259375107,845.6821836083734,851.4256710857029,1230627
2016-08-25,839.678955078125,856.2167967678548,837.2834217517566,852.060695212877,2616154
2016-08-26,823.8336791992188,842.7381968713024,819.9084697583023,839.8808807331917,2788650
2016-08-29,842.478515625,844.9317585033846,819.2158584238201,826.6044947484781,2094229
2016-08-30,851.8009033203125,853.0419786062096,841.526095778583,847.3850555627332,2598309
2016-08-31,873.331787109375,876.2179579413689,848.7125855561538,851.4255745117366,4152240
2016-09-01,869.955078125,875.987220085824,867.0399990957291,873.3607951837806,1905766
2016-09-02,868.7716064453125,873.0720345087482,858.2370532795699,869.9549719575947,1755505
