ticker,baseline_distress,sifi_rank,sis_score,daily_vol_60d,cva_baseline,cva_post_shock,delta_cva,pd_post_reliance_shock,delta_pd_reliance_shock
TITAN.NS,0.07000014,1,0.019693242385983467,0.005196375,1270.4634570074284,1287.5077502402394,17.044293232811015,0.07093925,0.00093910843
TATACONSUM.NS,0.07168233,2,0.0185354333370924,0.0044400124,1300.994168117039,1321.652319389811,20.658151272772102,0.07282055,0.0011382252
RELIANCE.NS,0.069773056,3,0.01789349876344204,0.0044274433,1266.3419685434444,17253.586254665806,15987.244286122363,0.9506401,0.880867
TATASTEEL.NS,0.068694614,4,0.01760837435722351,0.00460853,1246.7688536378434,1172.558261884261,-74.21059175358255,0.06460575,-0.0040888637
ULTRACEMCO.NS,0.09123899,5,0.01712622493505478,0.004914644,1655.9366897278733,1626.6665355742407,-29.270154153632575,0.08962626,-0.0016127303
ONGC.NS,0.06803577,6,0.014376206323504448,0.004514608,1234.8111416597067,1177.098403462996,-57.71273819671069,0.0648559,-0.003179863
NTPC.NS,0.05250495,7,0.013371968641877174,0.0046658693,952.935488273849,912.9213240256221,-40.01416424822696,0.050300244,-0.002204705
APOLLOHOSP.NS,0.049626675,8,0.013242126442492008,0.0030131973,900.6964096719207,780.9245675115984,-119.77184216032231,0.04302747,-0.0065992028
HCLTECH.NS,0.04660093,9,0.013116495683789253,0.0030632026,845.7808449264959,877.5728567233931,31.792011796897214,0.04835261,0.0017516799
BPCL.NS,0.038639534,10,0.01292035635560751,0.0050479514,701.285954220801,774.2871712548177,73.00121703401669,0.042661764,0.0040222295
NESTLEIND.NS,0.055148154,11,0.012848292477428913,0.0041294773,1000.9081860305093,1455.6628298395167,454.75464380900735,0.08020428,0.025056124
MARUTI.NS,0.04263482,12,0.01260512787848711,0.004234568,773.7981341135076,824.9471054529794,51.148971339471814,0.04545303,0.002818212
BAJAJFINSV.NS,0.049984783,13,0.012542683631181717,0.004696143,907.1958775769423,918.6420376387023,11.446160061759997,0.050615445,0.00063066185
SBILIFE.NS,0.03689742,14,0.012528892606496811,0.0030137396,669.667569878471,672.4178206453838,2.7502507669128136,0.037048955,0.00015153363
